id;desvionum;tailnum
734;0;N518UA
735;0;N667AW
736;0;N667AW
737;0;N661AW
738;0;N661AW
739;0;N659AW
740;0;N659AW
741;0;N834MH
742;0;N830MH
743;0;N828MH
744;0;N934AT
745;0;N992AT
746;0;N972AT
747;0;N354SW
748;0;N354SW
749;0;N354SW
750;0;N354SW
751;0;N354SW
752;0;N354SW
753;0;N395SW
754;0;N395SW
755;0;N395SW
756;0;N395SW
757;0;N395SW
758;0;N395SW
759;0;N505UA
760;0;N517UA
761;0;N5DFAA
762;0;N5FDAA
763;0;N5DJAA
764;0;N625JB
765;0;N598JB
766;0;N655JB
767;0;N969AT
768;0;N950AT
769;0;N996AT
770;0;N586HA
771;0;N589HA
772;0;N586HA
773;0;N762SW
774;0;N762SW
775;0;N246LV
776;0;N246LV
777;0;N518UA
778;0;N555UA
779;0;N633AW
780;0;N653AW
781;0;N653AW
782;0;N634AW
783;0;N634AW
784;0;N563AS
785;0;N305AS
786;0;N317AS
787;0;N938DL
788;0;N960DL
789;0;N973DL
790;0;N316AT
791;0;N316AT
792;0;N892AT
793;0;N892AT
794;0;N983AT
795;0;N983AT
796;0;N589HA
797;0;N586HA
798;0;N585HA
799;0;N314SW
800;0;N314SW
801;0;N314SW
802;0;N397SW
803;0;N397SW
804;0;N397SW
805;0;N934UA
806;0;N155AW
807;0;N175AW
808;0;N321AA
809;0;N328AA
810;0;N320AA
811;0;N588AS
812;0;N588AS
813;0;N586AS
814;0;N586AS
815;0;N546AS
816;0;N563AS
817;0;N605JB
818;0;N662JB
819;0;N910DL
820;0;N923DL
821;0;N972DL
822;0;N422WN
823;0;N422WN
824;0;N422WN
825;0;N422WN
826;0;N762SW
827;0;N762SW
828;0;N762SW
829;0;N762SW
830;0;N762SW
831;0;N527UA
832;0;N580UA
833;0;N903AW
834;0;N904AW
835;0;N904AW
836;0;N5DFAA
837;0;N5FDAA
838;0;N5DJAA
839;0;N588AS
840;0;N588AS
841;0;N586AS
842;0;N586AS
843;0;N563AS
844;0;N563AS
845;0;N258JB
846;0;N294JB
847;0;N192JB
848;0;N3750D
849;0;N3738B
850;0;N3743H
851;0;N126AT
852;0;N126AT
853;0;N281AT
854;0;N288AT
855;0;N344AT
856;0;N169AT
857;0;N461WN
858;0;N461WN
859;0;N436WN
860;0;N436WN
861;0;N637AW
862;0;N329AA
863;0;N323AA
864;0;N321AA
865;0;N665JB
866;0;N635JB
867;0;N605JB
868;0;N3742C
869;0;N389DA
870;0;N377DA
871;0;N326AT
872;0;N267AT
873;0;N173AT
874;0;N629SW
875;0;N629SW
876;0;N629SW
877;0;N629SW
878;0;N693SW
879;0;N693SW
880;0;N693SW
881;0;N693SW
882;0;N933UA
883;0;N190JB
884;0;N216JB
885;0;N192JB
886;0;N660DL
887;0;N838MH
888;0;N900PC
889;0;N605SW
890;0;N605SW
891;0;N605SW
892;0;N605SW
893;0;N356SW
894;0;N356SW
